# index, _pos
595,"array([24.11358506, -4.06524657])"
596,"array([36.79144746, -0.10788189])"
597,"array([30.23176379,  7.75082242])"
598,"array([26.26623475, -4.3300609 ])"
599,"array([-35.42524823,  28.42950879])"
600,"array([ 9.4199321 , 52.19872418])"
601,"array([35.01092194, -2.99635993])"
602,"array([  4.02972077, -14.5843034 ])"
603,"array([-2.46750613, -8.15552349])"
604,"array([  5.84979655, -22.82244323])"
605,"array([39.96298675, 17.32667197])"
606,"array([25.30660688,  8.99766153])"
607,"array([  52.07837209, -113.42300922])"
608,"array([ 24.80911752, -49.85274702])"
609,"array([ 26.73521459, -64.03181938])"
610,"array([15.97245726, 93.46858244])"
611,"array([11.54195598, 84.83792588])"
612,"array([ 56.75399067, -48.53617465])"
613,"array([ 16.1429307 , 126.81493292])"
614,"array([ 41.97101578, -33.28612692])"
615,"array([ 44.0410806 , -42.13631314])"
616,"array([-28.09332081,  24.62926786])"
617,"array([-18.72001627,  43.09183525])"
618,"array([ 70.00714617, -95.38153964])"
619,"array([ 21.18574634, -18.31516839])"
620,"array([-19.91481416, -24.76593318])"
621,"array([24.06385849, 14.15464669])"
622,"array([  22.23789681, -110.60844239])"
623,"array([95.32996549, 29.64597619])"
624,"array([81.95183977, 47.07770713])"
625,"array([26.06958287,  9.6255079 ])"
626,"array([121.42278027,  32.24413663])"
627,"array([130.91607137,  32.11134264])"
628,"array([22.77987597, -4.54393855])"
629,"array([61.12927074,  3.21668468])"
630,"array([ 25.08088424, -14.49218196])"
631,"array([ 18.61465125, -17.60578686])"
632,"array([ 46.58973521, -34.08600947])"
633,"array([  19.16493161, -123.71005431])"
634,"array([  19.88381357, -137.41775902])"
635,"array([ 63.09366298, -41.633489  ])"
636,"array([ 59.69470409, -36.05443523])"
637,"array([39.16595929, 71.53033383])"
638,"array([46.02585057, -7.34988041])"
639,"array([43.10495833, 28.02335151])"
640,"array([31.38827915, -3.58132102])"
641,"array([38.24156302, 28.14501136])"
642,"array([31.23941425, -6.81974094])"
643,"array([ 7.85083177, 30.41053272])"
644,"array([-20.39068273,  20.7832331 ])"
645,"array([ 19.0525298 , -21.78320091])"
646,"array([ 21.38035092, -53.01546899])"
647,"array([114.02762006,  30.21078665])"
648,"array([-34.31799155,   6.26349945])"
649,"array([-37.27127309,  -4.02104666])"
650,"array([30.8737934 , -1.29596687])"
